Timestamp,GSR Value (uS)
2025-05-23 11:15:02.088,-0.24
2025-05-23 11:15:02.270,-0.24
2025-05-23 11:15:02.389,-0.24
2025-05-23 11:15:02.568,-0.24
2025-05-23 11:15:02.689,-0.24
2025-05-23 11:15:02.869,-0.24
2025-05-23 11:15:02.989,-0.24
2025-05-23 11:15:03.168,-0.24
2025-05-23 11:15:03.349,-0.24
2025-05-23 11:15:03.469,-0.24
2025-05-23 11:15:03.649,-0.24
2025-05-23 11:15:03.769,-0.24
2025-05-23 11:15:03.949,-0.24
2025-05-23 11:15:04.069,-0.24
2025-05-23 11:15:04.249,-0.24
2025-05-23 11:15:04.370,-0.24
2025-05-23 11:15:04.550,-0.24
2025-05-23 11:15:04.729,-0.24
2025-05-23 11:15:04.849,-0.24
2025-05-23 11:15:05.029,-0.24
2025-05-23 11:15:05.148,-0.24
2025-05-23 11:15:05.329,-0.24
2025-05-23 11:15:05.448,-0.24
2025-05-23 11:15:05.628,-0.24
2025-05-23 11:15:05.748,-0.24
2025-05-23 11:15:05.929,-0.29
2025-05-23 11:15:06.110,-0.24
2025-05-23 11:15:06.228,-0.24
2025-05-23 11:15:06.409,-0.24
2025-05-23 11:15:06.530,-0.24
2025-05-23 11:15:06.709,-0.29
2025-05-23 11:15:06.829,-0.24
2025-05-23 11:15:07.009,-0.24
2025-05-23 11:15:07.188,-0.24
2025-05-23 11:15:07.309,-0.24
2025-05-23 11:15:07.489,-0.24
2025-05-23 11:15:07.609,-0.24
2025-05-23 11:15:07.788,-0.24
2025-05-23 11:15:07.909,-0.24
2025-05-23 11:15:08.090,-0.29
2025-05-23 11:15:08.208,-0.24
2025-05-23 11:15:08.388,-0.24
2025-05-23 11:15:08.569,-0.24
2025-05-23 11:15:08.688,-0.24
2025-05-23 11:15:08.869,-0.24
2025-05-23 11:15:08.990,-0.24
2025-05-23 11:15:09.168,-0.24
2025-05-23 11:15:09.288,-0.24
2025-05-23 11:15:09.470,-0.24
2025-05-23 11:15:09.590,-0.24
2025-05-23 11:15:09.768,-0.24
2025-05-23 11:15:09.888,-0.24
2025-05-23 11:15:10.068,-0.24
2025-05-23 11:15:10.248,-0.24
2025-05-23 11:15:10.369,-0.24
2025-05-23 11:15:10.549,-0.24
2025-05-23 11:15:10.669,-0.24
2025-05-23 11:15:10.850,-0.24
2025-05-23 11:15:10.970,-0.24
2025-05-23 11:15:11.149,-0.24
2025-05-23 11:15:11.268,-0.24
2025-05-23 11:15:11.449,-0.24
2025-05-23 11:15:11.629,-0.24
2025-05-23 11:15:11.748,-0.24
2025-05-23 11:15:11.930,-0.24
2025-05-23 11:15:12.049,-0.24
2025-05-23 11:15:12.228,-0.24
